time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,distance_from_loc
2023-11-04T14:09:38.500Z,38.831501,-122.8148346,1.09,0.4,md,8.0,86.0,0.008907,0.01,nc,nc73955995,2023-11-04T16:26:13.453Z,"8 km NW of The Geysers, CA",earthquake,0.35,1.13,0.3,10.0,automatic,nc,nc,4933.158983221029
2023-11-04T10:03:08.010Z,38.8180008,-122.7955017,2.38,1.09,md,16.0,42.0,0.01002,0.03,nc,nc73955925,2023-11-04T10:41:18.410Z,"6 km NW of The Geysers, CA",earthquake,0.28,0.59,0.22,16.0,automatic,nc,nc,4933.235795358932
2023-11-04T04:25:21.670Z,38.8313332,-122.8168335,1.64,0.94,md,14.0,51.0,0.009524,0.01,nc,nc73955810,2023-11-04T06:11:18.783Z,"8 km NW of The Geysers, CA",earthquake,0.27,0.57,0.23,15.0,automatic,nc,nc,4933.284398932456
2023-11-04T03:14:30.310Z,38.8301659,-122.8156662,1.71,1.54,md,30.0,45.0,0.008049,0.03,nc,nc73955785,2023-11-04T06:03:11.738Z,"8 km NW of The Geysers, CA",earthquake,0.15,0.28,0.2,30.0,automatic,nc,nc,4933.319067706857
2023-11-04T05:52:37.050Z,38.831501,-122.8180008,1.68,0.4,md,9.0,81.0,0.01019,0.01,nc,nc73955820,2023-11-04T06:11:17.783Z,"8 km NW of The Geysers, CA",earthquake,0.43,0.75,0.24,9.0,automatic,nc,nc,4933.3349707513
2023-11-04T09:39:52.150Z,38.8163338,-122.7953339,2.67,0.77,md,11.0,64.0,0.008354,0.01,nc,nc73955905,2023-11-04T12:02:11.925Z,"6 km NW of The Geysers, CA",earthquake,0.37,1.06,0.46,14.0,automatic,nc,nc,4933.368653262572
2023-11-04T09:49:43.120Z,38.7913322,-122.7596664,0.85,0.89,md,13.0,69.0,0.009279,0.02,nc,nc73955920,2023-11-04T10:30:13.353Z,"2 km N of The Geysers, CA",earthquake,0.23,0.67,0.15,13.0,automatic,nc,nc,4933.518841263522
2023-11-03T23:34:20.270Z,38.7808342,-122.7453308,-0.16,0.96,md,8.0,110.0,0.007141,0.02,nc,nc73955720,2023-11-03T23:51:10.652Z,"1 km ENE of The Geysers, CA",earthquake,0.34,0.48,0.14,7.0,automatic,nc,nc,4933.617666288259
2023-11-04T07:25:36.490Z,38.7885017,-122.7614975,1.85,1.06,md,19.0,63.0,0.01219,0.03,nc,nc73955850,2023-11-04T09:23:12.076Z,"1 km NNW of The Geysers, CA",earthquake,0.25,0.44,0.07,18.0,automatic,nc,nc,4933.86210836563
2023-11-03T23:32:08.540Z,38.8183327,-122.8136673,2.71,1.1,md,25.0,52.0,0.005782,0.02,nc,nc73955715,2023-11-04T02:54:10.685Z,"7 km NW of The Geysers, CA",earthquake,0.22,0.4,0.15,28.0,automatic,nc,nc,4934.217197568908
2023-11-04T19:36:00.730Z,38.8218346,-122.8255005,0.61,1.08,md,14.0,85.0,0.01215,0.03,nc,nc73956080,2023-11-04T20:11:17.765Z,"8 km NW of The Geysers, CA",earthquake,0.2,0.54,0.12,16.0,automatic,nc,nc,4934.576242775323
2023-11-04T04:13:15.280Z,38.8160019,-122.8191681,2.55,1.53,md,28.0,50.0,0.01025,0.02,nc,nc73955805,2023-11-04T07:01:10.102Z,"7 km NW of The Geysers, CA",earthquake,0.2,0.38,0.15,28.0,automatic,nc,nc,4934.721755139362
2023-11-04T06:28:29.950Z,38.8120003,-122.8199997,4.87,0.54,md,8.0,148.0,0.007823,0.01,nc,nc73955840,2023-11-04T06:47:19.000Z,"7 km NW of The Geysers, CA",earthquake,1.11,5.2,0.24,8.0,automatic,nc,nc,4935.109302574688
2023-11-04T04:48:54.550Z,38.8098335,-122.821167,1.93,0.79,md,14.0,60.0,0.006333,0.02,nc,nc73955815,2023-11-04T06:41:16.964Z,"7 km WNW of The Geysers, CA",earthquake,0.26,0.58,0.19,14.0,automatic,nc,nc,4935.359012125087
2023-11-04T09:40:02.380Z,38.802166,-122.8111649,2.42,0.41,md,6.0,141.0,0.01368,0.0,nc,nc73955910,2023-11-04T12:13:09.980Z,"6 km WNW of The Geysers, CA",earthquake,0.67,1.8,0.16,8.0,automatic,nc,nc,4935.457122021212
2023-11-04T20:38:15.080Z,38.8248329,-122.8550034,2.45,1.09,md,15.0,113.0,0.0157,0.02,nc,nc73956095,2023-11-04T20:55:13.042Z,"10 km WNW of The Geysers, CA",earthquake,0.31,0.49,0.17,16.0,automatic,nc,nc,4935.96037578487
2023-11-04T17:08:13.460Z,38.7966652,-122.8154984,3.14,0.74,md,8.0,92.0,0.01279,0.02,nc,nc73956025,2023-11-04T17:58:13.972Z,"6 km WNW of The Geysers, CA",earthquake,0.46,1.55,0.44,10.0,automatic,nc,nc,4936.167260982628
